question_id,ground_truth,conversation
158392,['network scanning tool'],"**User:**
How to get IP address of a virtual box machine from hostmachine? I am using Windows 7 host machine and I have loaded a vulnhub ctf into virtualbox. Now i dont have credentials to login to the ctf machine which is a unix machine. Can i get the ipaddress of this CTF Unix machine that i loaded using virtual box. Currently the CTF screen stopped at login prompt.

**Assistant:**
As Steffen Ullrich said on comments, there is not so much related to security here. Ok, you are trying to do a CTF... but that's all. Anyway before the probably migration of the question I'll try to give you some hints.

First you must determine if your virtual machine is running in NAT mode or in bridged mode. You can check it under configuration-networking options for that machine on Virtualbox.

If is in bridged mode, the virtual machine is going to be on same network as your host machine. Probably it will take an ip from DHCP if you have one configured which is the standard. If bridged is your case, suppose that your home network range is 192.168.0.0/24. You will need to identify your VM's IP address on this network. Remember to change your network range if is different.

If your vm is in NAT mode. There will be a different network range between your host machine and your vm. Usually, the default network range for this on Virtualbox is 10.0.2.0/24 (your host usually is 10.0.2.1 and the first vm should be 10.0.2.15 if everything is normal).

Hope it helps."
158770,['two factor authentication'],"**User:**
Should 2FA over SMS be considered insecure in the wake of recent SS7 attacks? Design flaws related to SS7 has been known to us for quite a while now but telcos have conveniently discarded the arguments saying that the risk is too low due to the significant investments required for performing the attack. But considering the recent news that hackers have performed a real world SS7 attack to bypass 2FA and siphon off funds, it is pretty clear that the return of investment in these attacks will cover for the costs. 

Should we, as application developers and pen testers consider SMS based 2FA as a weakness?

**Assistant:**
The newest draft of the NIST Digital Identity Guidelines deprecates the usage of SMS for certain verification purposes.

I would recommend utilizing a stronger technology moving forward, and abandon SMS for such verification."
159249,['ssl and tls configuration scanning tool'],"**User:**
Which cipher is getting used I used Fiddler and hit a https website because wanted to see if I fully disabled SSL and only using TLS on my laptop.

In Request part I see these listed:

Ciphers: 
    [3A3A]  Unrecognized cipher - See http://www.iana.org/assignments/tls-parameters/
[C02B]  TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
[C02F]  TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
[C02C]  TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[C030]  TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384
[CCA9]  TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256
[CCA8]  TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
[C013]  TLS1_CK_ECDHE_RSA_WITH_AES_128_CBC_SHA
[C014]  TLS1_CK_ECDHE_RSA_WITH_AES_256_CBC_SHA
[009C]  TLS_RSA_WITH_AES_128_GCM_SHA256
[009D]  TLS_RSA_WITH_AES_256_GCM_SHA384
[002F]  TLS_RSA_AES_128_SHA
[0035]  TLS_RSA_AES_256_SHA
[000A]  SSL_RSA_WITH_3DES_EDE_SHA


In Reply section I see this:

A SSLv3-compatible ServerHello handshake was found. Fiddler extracted the parameters below.

> Version: 3.3 (TLS/1.2) SessionID: 96 50 2E A8 9A 79 F0 96 36 47 45 0F
> FE 9C A9 7A 17 71 FC 23 6C 2C B7 AF B9 AF D9 7E F4 98 0C 70
> Random:       AD 94 44 B0 70 49 22 60 35 72 F3 68 C1 25 1D 91 80 E1 FE AD
> D6 80 F1 40 36 E5 7A 38 66 3B EF C1
> Cipher:       TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256 [0xC02F]
> CompressionSuite: NO_COMPRESSION [0x00] Extensions:
>       renegotiation_info  00      ALPN        h2


**Assistant:**
The protocol being used is (TLS/1.2), with cipher suite TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256

ephemeral ECDH for key exchange
RSA for verifying the ECDH parameters
128-bit AES in GCM (Galois/Counter Mode of operation) for bulk symmetric encryption and integrity
SHA-256 for the pseudo-random function (PRF) required by other parts of the suite (note that it is not used for HMAC integrity checks of the data; GCM ensures the integrity of the encrypted data)

Note that even if you disabled SSL in some programs on your machine, there's nothing preventing other programs from using it. Many SSL/TLS client and server applications use their own library (usually a bundled copy of OpenSSL) and they can pass whatever protocol parameters to it they want."
160315,"['honeypot software', 'captcha service', 'authentication and authorization']","**User:**
How to Secure REST API from being crawled when serving public content ? I have a ReactJs web app, an Android app that both consuming a REST API built with django, the whole project is for media/news, the biggest part of the REST API is public content, there is a little part where user has secured API endpoints with Token based authentication.

The problem we are facing is that there are more people who crawl our REST API and duplicate our content in many places and we can't keep track of those and stop them, so we are thinking of some way that we can make the REST API HARDER to be crawled.

My current suggested solution: Encryption but my current understanding of encryption, is that you encrypt the REST API responses from the server, and in the client in javascript you decrypt it, but you still need a decryption key or token, so you will face other problems of saving that token in the client side.

Is there any better method of securing the api than encryption ? 

What are the best practices in saving the token in the client side? 

Thanks.

**Assistant:**
I used to write web scrappers as a job, and here are my two cents on the toughest issues I faced when I was on the other side of your problem.


Load some or all of the content via several AJAX calls. If the scrapper isn't tailored to your site, this will stop the scrappers. In practice, you could answer with a JSON which would have only the beginning of the content, requiring subsequent requests for the rest.
Throttling was usually an annoyance. The implementations I encountered were based on the IP address and users were allowed 10 requests per second. That's much more than what a typical human would do. To pass that, my code would have to keep track of the time when ten requests were sent, and then on timeout request ten more pieces of content.
Nefarious bots don't follow the rules. Also part of that same job, we would redistribute the content and had others trying to scrape it. Implementing mechanisms to identify and block suspicious bot behavior proved highly effective. Bots exhibiting certain patterns of interaction were blacklisted for a period, such as 36 hours. For the Django integration, we used coded that up as a middleware so it would apply to all pages. In order for this to have a minimal performance issue, we used Django's cache to store which IPs were blacklisted or whitelisted."
160418,['load testing'],"**User:**
How Can I Tell If A Denial-Of-Service Attack Is Working/Would This Attack Work? Say I want to test the security of a site and I decide to send a DOS attack against it using a javascript script:

 function imgflood(link, uri) {  
   var TARGET = link;
   var URI = uri;
   var pic = new Image();
   var rand = Math.floor(Math.random() * 10000000);
   pic.src = 'http:'+TARGET+URI+rand+'=val';
 }
 function DOSATTACK(link){
 var domain = link;
 setInterval(function(){
   var i = 0;
   var img = document.createElement('img');
   img.setAttribute('src', 'ftp://' + domain + ':80/image' + new 
 Date().getTime() + i );
   document.body.appendChild(img);
 }, 1);  
 }

 setInterval(function(){
   imgflood(""ASite.com"",""/index.html"");
   DOSATTACK(""ASite.com"");


}, 500);

I have 2 questions:
One, how would I be able to tell if I'm doing any damage, other than just the site lagging (because that could be my computer lagging because I'm making a ton of images for the site).

Two, would this script work at all or would it just use up my bandwidth until my computer crashed. I've noticed my computer might lag a bit but I can close the tab and get on another site easily.

**Assistant:**
To answer the two questions together. No they wouldn't - simply put your computer is unlikely to have the amount of needed egress bandwidth and even if it did you computer would be the bottleneck running the client side code and cause no impact to server.

You asked


  ""how would I be able to tell if I'm doing any damage, other than just
  the site lagging (because that could be my computer lagging because
  I'm making a ton of images for the site).""


You can tell if its working by checking the site from another network. If for example your phone using the mobile providers network, not your wifi, shows the site slowing down then it may be having an impact. - This again is unlikely


  would this script work at all or would it just use up my bandwidth
  until my computer crashed. I've noticed my computer might lag a bit
  but I can close the tab and get on another site easily.


The script is unlikely to work, the code is client side and you are only likely to be putting impact on your local machine.

I'm also not sure why you would try and do this via the browser and/or JavaScript? Again the code is client side and the local computers memory and CPU will take the brunt of executing the code. It may be best you look into alternative methods as this approach seems to yield little to no result compared to the overheads.

Finally, not sure this is the place to get specific attack code as you have clearly given the domain in your code. I would suggest this forum is not the one you need to use."
161403,['fido u2f device'],"**User:**
Attacker circumventing 2FA. How to defend? Detailed in the latest NSA dump is a method allegedly used by Russian intelligence to circumvent 2FA. (In this instance Google 2FA with the second factor being a code.)

It’s a fairly obvious scheme and one that I’m sure must be used regularly. 
It appears to work like this:


URL is sent to target via spear phishing, the URL points to attacker
controlled phishing website that resembles Google Gmail.
User send credentials to the phony Gmail.
(Assumption) Attacker enters credentials into legitimate Gmail, and checks if a second factor is required.
Target receives legitimate second factor.
Phony Gmail site prompts target for second factor. Target sends second factor.
Attacker enters second factor into legitimate site and successfully authenticates.


The only way I can see to defend against this attack is by spotting the phony site as being a scam or blocking the phishing site via FW’s, threat intel etc.

Is there any other practical way to defend against such a scheme? 



**Assistant:**
Not all two-factor authentication schemes are the same. Some forms of 2FA, such as sending you a text message, are not secure against this attack. Other forms of 2FA, such as certain hardware-based security keys, are secure against this attack -- they have been deliberately designed with this kind of attack in mind.

These types of hardware authenticators provide two key defenses against the man-in-the-middle attack:

Registration - The user registers their security key with a particular website (""origin""), such as google.com. Then the security key will only respond to authentication requests from a registered origin; if the user is tricked into visiting goog1e.com (a phishing site), then the key won't respond to the request, since it can see that it is coming from a site that it hasn't been previously registered with.
Channel binding and origin binding - These security keys use a mechanism that binds the authentication request to the specific TLS channel, which helps prevent man-in-the-middle attacks and enables the security key to verify that it is talking to the same web site that the user is visiting in their web browser. Also, the security key knows what origin it thinks it is talking to, and its signed authentication response includes a signature over the origin it thinks it is talking to. This is checked by the server. So, if the user is on goog1e.com and that page requests authentication from such a key, the response from the security key indicates that its response is only good for communication with goog1e.com -- if the attacker tries to relay this response to google.com, Google can notice that something has gone wrong, as the wrong domain name is present in the signed data.

Both of these features involve integration between these hardware-based authentication devices and the user's browser. This integration allows the device to know what domain name (origin) the browser is visiting, and that allows the device to detect or prevent phishing and man-in-the-middle attacks."
162874,['disk encryption tool'],"**User:**
Encrypting a few TB of Data I'm planning on encrypting a large media library of mine. Have looked into different solutions, but thought I should ask the community what your thoughts are.


I don't want to encrypt each file individually, I'd like to create a container which I decrypt once when mounting.
I have 1.4 TB of data consisting mainly of 2-4 GB files, though some files exceed 4 GB (meaning zipping isn't an option).
Ideally I'd like the solution to be cross platform (even if that means command line only).


My current best solution is to use GPG. I would create a tarball of my 1.4 TB directory then encrypt that file with my GPG key. Though I don't have much expertise in compression, I would think this isn't ideal to tar 1.4 TB. Which also means browsing the files will be cumbersome, unless I untar which would double the storage needed along with many other downsides.

Do you have any suggestions for other ways I should go about this?
I don't need to solution to be incredibly secure, prioritising on convenience for this use case.

More Info: I currently use OSX's built in encryption method of creating a .dmg and mounting it to access the contents. Hoping for a cross platform version of this.

**Assistant:**
Why not use a commonly used application to do it? Such applications often allow you to create an encryption container that you can mount as a drive."
162957,"['backup and recovery tool', 'patch management tool', 'endpoint protection program', 'antivirus', 'firewall']","**User:**
What lessons can be learned from the latest spate of Ransomware attacks? I'm not sure this is the right place, but figured people would find it useful if they aren't too familiar with security policies and general best practices. 

There is a lot of information out there, however, we all know that you can't completely lock down a system because people need access to various outside sources. 

So as a Cyber Security forum (of sorts), what would your recommendations be to combat this latest Petya and NotPetya ransomware attack?

Edit: it would also be useful to know what allowed the affected companies' systems to be infected. 

**Assistant:**
I think one of the main lessons learned is that the security services shouldn’t be hoarding zero days and tools to exploit them, (especially) if they can’t properly secure them.

The thing to remember, however, is that WannaCrypt and Petya both had remediations available for their underlying vulnerabilities before they hit and both also took advantage of poor configuration.

Additionally, many organisations that were hit hard could have avoided some (possibly all) pain if they had standard belts and braces security practices in place.

The main lesson organisations should learn is that they should get the basics right.

For example:

Vulnerability Management

Conduct regular vulnerability scanning, understand the security posture of all assets and what vulnerabilities are present, what threats are related to these vulnerabilities, and what risk they pose to the IT estate and the business it serves.

This includes both missing security updates (i.e. MS17-010) and poor configuration (i.e., having SMBv1 enabled).

This should all be supported by proper processes that allow for ongoing discovery, remediation of vulnerabilities (either via action or risk acceptance) and confirming remediation.

Ideally, all risks across the entire IT estate should be known about and managed.

Additionally, roles and responsibilities should be assigned to ensure that all of the above is done correctly. This includes security managers, security analysts, vulnerability managers IT technicians etc.

Vulnerability Remediation

Ensure that necessary security updates are deployed in a timely manner. This doesn’t just mean pushing the latest security updates. This also includes understanding what software you have in your IT estate and having a full inventory of assets to make sure all systems are current.

Removable Media Controls

Ensure removable media is limited to devices that are sanctioned only. Ideally, I would blacklist all removable media and whitelist anything that you approve. (This is just my view, however)

Malware Prevention

Implement measures to prevent malicious software from running on endpoints. Ensure these measures are current and effective.

Disaster Recovery

Ensure you have strategies and procedures for data restoration, including securing copies of critical data off-site and offline.

Incident Management

Ensure you have a plan to react to a major security incident; ensure you have the right people in the right places supported by the right processes.

Control User Privilege

This one goes without saying really: make sure that all users have the least amount of privilege. This should be supported to ensure that this is audited regularly.

User Education and Engagement

Ensure all staff understand the security policy of your organisation. Conduct exercises such as phishing campaigns to test your users and provide training to allow them to understand the risks involved and be better prepared to spot pushing emails, web sites, social engendering etc. (Again, this is just a view, some people may suggest that security shouldn’t be a user problem; it should be an IT problem)

Good Network Security Hygiene

Have the correct access controls on your perimeter, ensure you have properly configured network boundary protection mechanisms at all appropriate places in your network (with regular rule audits and reviews), and make sure that network segmentation is properly setup with as much isolation as is required. Ensure that all remote users can connect securely and that any devices they connect from have security configurations aligned with devices already on the network. Also, make sure that you have robust BYOD controls."
164819,['honeypot software'],"**User:**
False, honeypot like wifi I have set cameras for security at home, because someone broke into my house. As the suspect doesnt want to give up (got a mail from him, lol), I want to find more info about him. Because cameras are probably an obstacle, he would definitely want to disable them. So I thought about setting an false wifi with some name which would refer to access the camera web utility. 

The question is: does such utility exist that would bring some info about the attacker? i.E. Device type would be a great info. And would you recommend to enable internet access on the honeypot router, if the attacker would (i hope so) be stupid to login? 

**Assistant:**
Something that may interest you are ""googledorks""; these are searches people execute to find various things on the web. Googling for ""googledorks web camera"" will give you many signatures that people search for when looking for web cameras on line.

Vigilante justice is probably illegal where you live; and most local police won't be interested in a minor computer crime unless there's other evidence to go with it. And confronting the perpetrator yourself may put you at risk of violence. Please be careful with the information you obtain."
169187,['web application firewall'],"**User:**
Received ""md5"" in access logs In our Apache server we have received around 200 HTTP GET requests from the same IP and a common string in each request is ""md5"", e.g.

index.php?option=com_s5clanroster&view=s5clanroster&layout=category&task=category&id=-null%27+/*!50000UnIoN*/+/*!50000SeLeCt*/md5(3.1415),222--%20- HTTP/1.1


What kind of attack hacker had tried over here, and should I worry about it?

**Assistant:**
The attacker is trying to exploit Joomla component called com_s5clanroster which is vulnerable to SQL Injection.


  An SQL injection vulnerability has been reported in Joomla Com
  S5clanroster. Successful exploitation of this vulnerability would
  allow a remote attacker to execute arbitrary SQL commands on the
  affected system.


https://www.checkpoint.com/defense/advisories/public/2014/cpai-2014-2169.html

That same component was also vulnerable to LFI:

  [o] Exploit

       http://localhost/[path]/index.php?option=com_s5clanroster&view=[LFI]
       http://localhost/[path]/index.php?option=com_s5clanroster&controller=[LFI]


http://www.securityfocus.com/bid/39503

Maybe you don't have that component installed or maybe you are running different CMS, but make sure that you check your website is up-to-date. And not only that, also check if different plugins are still maintained by author, because I saw vulnerable plugins with no updates available from author - and that is consider as a big problem.

Here is another example which can lead to another problem: Expired Domain Leads to WordPress Plugin Redirects"
